en_src_word,en_word,de_word,bn_word,ru_word
acclimate,acclimate,akklimatisieren,নূতন জলবায়ু সহ্য করিতে অভ্যস্ত করান,акклиматизироваться
accommodate,accommodate,unterbringen,মিটমাট করা,вмещать
accommodating,accommodating,entgegenkommend,অমায়িক,услужливый
accomplish,accomplish,erreichen,সাধা,выполнять
accomplishable,accomplishable,durchführbar,প্রতিপাদ্য,выполнима
accordance,accordance,übereinstimmung,অনুযায়ী,соответствие
according,according,gemäß,অনুযায়ী,в соответствии
accordingly,accordingly,entsprechend,তদনুসারে,соответственно
accountability,accountability,rechenschaftspflicht,দায়িত্ব,подотчетность
accounting,accounting,buchhaltung,হিসাবরক্ষণ,учет
accreditation,accreditation,akkreditierung,স্বীকৃতি,аккредитация
accredited,accredited,akkreditiert,নিসৃষ্ঠ,аккредитованный
accrue,accrue,anfallen,জমা,доставаться
accumulation,accumulation,akkumulation,আহরণ,накопление
accuracy,accuracy,richtigkeit,সঠিকতা,точность
accursed,accursed,verflucht,অভিশপ্ত,проклятый
accusation,accusation,anklage,অভিযোগ,обвинение
accusative,accusative,akkusativ,দ্বিতীয়া-বিভক্তি,винительный
accusatorial,accusatorial,akkusativ,অভিযোক্তা-সংক্রান্ত,обвинительный
accuse,accuse,beschuldigen,অভিযুক্ত করা,обвинять
accustom,accustom,gewöhnen,অভ্যস্ত করা,приучать
ace,ace,as,টেক্কা,туз
acetylene,acetylene,acetylen,উজ্জ্বল শিখাযুক্ত বর্ণহীন গ্যাসবিশেষ,ацетилен
achievable,achievable,erreichbar,সাধনযোগ্য,достижимый
achiever,achiever,durchführer,অর্জনকারী,успевающий ученик
acidification,acidification,säuerung,অম্লীকরণ,подкисление
acknowledge,acknowledge,bestätigen,স্বীকার করা,признавать
acknowledged,acknowledged,anerkannt,স্বীকৃত,признанный
acknowledgement,acknowledgement,wissen,স্বীকৃতি,подтверждение
acne,acne,akne,ব্রণ,акне
acorn,acorn,eichel,ত্তক্ বৃক্ষের ফল,желудь
acoustical,acoustical,akustisch,ধ্বনিতাত্বিক,акустический
acquainted,acquainted,bekannt,পরিচিত,знакомый
acquire,acquire,erwerben,অর্জন,приобретать
acquirer,acquirer,erwerber,অধিকারির,приобретатель
acquisition,acquisition,erwerb,অর্জন,получение
acquit,acquit,freisprechen,নির্দোষ প্রমাণ করা,оправдать
acquittal,acquittal,freispruch,বেকসুর খালাস,оправдание
acrid,acrid,scharf,টক,едкий
acrobat,acrobat,akrobat,মল্ল,акробат
acrobatic,acrobatic,akrobatisch,মত পরিবর্তন করে এমন,акробатический
acronym,acronym,akronym,অন্য শব্দের আদ্যক্ষর দ্বারা গঠিত শব্দ,акроним
across,across,über,দিয়ে,через
act,act,handlung,আইন,акт
action,action,aktion,কর্ম,действие
actionable,actionable,umsetzbar,অভিযোগ্য,действенные
activation,activation,aktivierung,সক্রিয়করণ,активация
active,active,aktiv,সক্রিয়,активный
activism,activism,aktivismus,সক্রিয়তা,активность
actor,actor,darsteller,অভিনেতা,актер
actual,actual,tatsächlich,আসল,фактический
actualization,actualization,aktualisierung,কার্যে,актуализация
actualize,actualize,verwirklichen,বাস্তবে পরিণত করা,актуализировать
acupuncture,acupuncture,akupunktur,চিকিত্সা-পদ্ধতি বিশেষ,иглоукалывание
acute,acute,akut,তীব্র,острый
acutely,acutely,akut,কঠোরভাবে,остро
ad,ad,anzeige,বিজ্ঞাপন,объявление
adage,adage,sprichwort,প্রবচন,изречение
adaptability,adaptability,anpassungsfähigkeit,উপযোগীকরণ,адаптируемость
adaptive,adaptive,adaptiv,অভিযোজিত,адаптивный
add,add,hinzufügen,যোগ,добавить
addendum,addendum,nachtrag,অভিযোজ্য বস্তু,добавление
addicted,addicted,süchtig,আসক্ত,склонный
addiction,addiction,sucht,অনুরতি,зависимость
addictive,addictive,süchtig machend,আসক্তি,привыкание
addition,addition,zusatz,যোগ,прибавление
additive,additive,zusatzstoff,বিশেষ উদ্দেশ্যে সংযোজনের বস্তু,присадка
adept,adept,geschickt,পারদর্শী,искусный
adequate,adequate,angemessene,পর্যাপ্ত,адекватный
adequately,adequately,angemessen,পর্যাপ্তরূপে,адекватно
adherent,adherent,anhänger,অনুগত,приверженец
adhesion,adhesion,adhäsion,আনুগত্য,адгезия
adhesive,adhesive,klebstoff,আঠালো,клей
adhesiveness,adhesiveness,haftfähigkeit,চিট,клейкость
adjective,adjective,adjektiv,বিশেষণ,имя прилагательное
adjoin,adjoin,angrenzen,সন্নিহিত করা,граничить
adjoined,adjoined,angeschlossen,লাগোয়া,примыкал
adjourn,adjourn,vertagen,স্থগিত রাখা,закрывать
adjustment,adjustment,einstellung,সমন্বয়,регулировка
admin,admin,administrator,অ্যাডমিন,админ
administrate,administrate,administrieren,পরিপালন করা,администрировать
administrative,administrative,administrativ,প্রশাসনিক,административный
administratively,administratively,administrativ,শাসন ​​ব্যবস্থার,административно
admirable,admirable,bewundernswert,ধন্য,замечательный
admiration,admiration,bewunderung,প্রশংসা,восхищение
admire,admire,bewundern,তারিফ করা,восхищаться
admired,admired,bewundert,প্রশংসিত,почитаемый
admissible,admissible,zulässig,গ্রাহ্য,допустимый
admission,admission,eintritt,স্বীকারোক্তি,вход
admittance,admittance,zulassung,প্রবেশ,впуск
admitted,admitted,zugelassen,ভর্তি,признал
admonishment,admonishment,ermahnung,মৃদু ভর্ত্সনা,увещевание
adopt,adopt,adoptieren,অবলম্বন করা,принять
adoptee,adoptee,adoptierte,সাক্ষাতের বলক,усыновленный
adopter,adopter,adoptierer,গ্রহণকারী,усыновитель
adoption,adoption,annahme,গ্রহণ,принятие
adoptive,adoptive,adoptiv,অবলম্বনকর,усыновленный
adorable,adorable,bezaubernd,আরাধ্য,обожаемый
adorn,adorn,schmücken,বিভূষিত করা,украшать
adornment,adornment,schmuck,সজ্জা,украшение
adrift,adrift,treibend,ভাসিতে ভাসিতে,дрейфовать
adulterer,adulterer,ehebrecher,অগম্যাগামী,прелюбодей
adulteress,adulteress,ehebrecherin,ব্যভিচারিণী,прелюбодейка
adultery,adultery,ehebruch,ব্যভিচার,прелюбодеяние
advanced,advanced,fortgeschritten,অগ্রসর,передовой
advancement,advancement,förderung,অগ্রগতি,продвижение
advancing,advancing,voranschreiten,আগুয়ান,опережения
advantage,advantage,vorteil,সুবিধা,преимущество
advantageous,advantageous,vorteilhaft,সুবিধাজনক,выгодный
adventure,adventure,abenteuer,দু: সাহসিক কাজ,приключение
adventurer,adventurer,abenteurer,হঠকারী ব্যক্তি,авантюрист
adventuresome,adventuresome,abenteuerlich,দু: সাহসিক,склонный рисковать
adversary,adversary,gegner,প্রতিদ্বন্দ্বী,состязательный
adversity,adversity,unglück,বিদ্বেষ,напасти
advertise,advertise,werben,বিজ্ঞাপিত করা,рекламировать
advisability,advisability,zweckmäßigkeit,যৌক্তিকতা,целесообразность
advisable,advisable,ratsam,যুক্তিযুক্ত,рекомендуемый
advised,advised,empfohlen,পরামর্শ,рекомендуется
advisedly,advisedly,mit bedacht,বিজ্ঞাপন অনুযায়ী,обдуманно
advisory,advisory,beratend,উপদেশক,консультативный
aerial,aerial,antenne,বায়বীয়,антенна
aerobics,aerobics,aerobic,এরোবিকস,аэробика
aeronautic,aeronautic,luftfahrt-,বৈমানিক,воздухоплавательный
aerospace,aerospace,luft- und raumfahrt,মহাকাশ,авиационно-космический
aesthetic,aesthetic,ästhetisch,নান্দনিক,эстетический
aestheticism,aestheticism,ästhetizismus,সৌন্দর্যানুরাগ,эстетизм
aesthetics,aesthetics,ästhetik,নন্দনতত্ব,эстетика
afar,afar,weit entfernt,দূরে,издалека
affability,affability,freundlichkeit,শিষ্টতা,приветливость
affable,affable,freundlich,ভদ্র,приветливый
affectation,affectation,affektiertheit,ভান,жеманство
affected,affected,betroffen,আক্রান্ত,пострадавших
affecting,affecting,beeinflussen,প্রভাবিত,затрагивающий
affection,affection,zuneigung,স্নেহ,привязанность
affectionate,affectionate,zärtlich,অনুরক্ত,любящий
affectionately,affectionately,liebevoll,আদর করে,ласково
affective,affective,affektiv,আবেগ সম্বন্ধীয়,эмоциональный
affiliation,affiliation,zugehörigkeit,অন্তর্ভুক্তি,присоединение
affirm,affirm,bestätigen,নিশ্চিত করা,утверждать
affirmative,affirmative,positiv,হাঁ-সূচক,утвердительный
afflict,afflict,plagen,পীড়িত করা,тревожить
affluence,affluence,wohlstand,সমৃদ্ধি,наплыв
afford,afford,sich leisten,সামর্থ্য,позволить себе
affordable,affordable,erschwinglich,সাশ্রয়ী মূল্যের,доступный
affront,affront,beleidigung,অপমান করা,оскорбление
afghan,afghan,afghanisch,আফগান,афганский
aficionado,aficionado,liebhaber,প্রণয়াকাঙ্ক্ষী,болельщик
afloat,afloat,über wasser,চালু,на плаву
aforementioned,aforementioned,vorgenannten,উপরোক্ত,вышеупомянутый
afraid,afraid,angst,ভীত,боюсь
afterbirth,afterbirth,nachgeburt,নাড়ি,послед
aftermath,aftermath,nachwirkungen,ভবিষ্যৎ ফল,отава
afterword,afterword,nachwort,উত্তরভাষ,послесловие
again,again,nochmal,আবার,еще раз
against,against,gegen,বিরুদ্ধে,против
aged,aged,alt,বুড়া,престарелый
ageless,ageless,zeitlos,শাশ্বত,нестареющий
aggravate,aggravate,verschlimmern,বাড়া,обострять
aggravated,aggravated,verschärft,কুপিত,усугубленный
aggravating,aggravating,erschwerend,বিরক্তিকর,ухудшающий
aggravation,aggravation,verschlimmerung,অধোগমন,усугубление
aggregately,aggregately,aggregiert,সমষ্টিগতভাবে,совокупно
aggressiveness,aggressiveness,aggressivität,হামলাদারিতা,агрессивность
aggrieved,aggrieved,gekränkt,খিন্ন,обиженный
agile,agile,agil,কর্মতত্পর,проворный
aging,aging,altern,পক্বতা,старение
agitate,agitate,agitieren,উমান,агитировать
agitated,agitated,aufgeregt,ক্ষুব্ধ,взволнованный
aglow,aglow,leuchtend,প্রদীপ্ত,возбужденный
agnostic,agnostic,agnostisch,অজ্ঞানবাদী,агностик
agony,agony,qual,নিদারূণ যন্ত্রণা,агония
agreed,agreed,einverstanden,একমত,согласовано
agreement,agreement,zustimmung,চুক্তি,соглашение
agricultural,agricultural,landwirtschaftlich,কৃষিজাত,сельскохозяйственное
agriculture,agriculture,landwirtschaft,কৃষি,сельское хозяйство
aground,aground,gestrandet,জলমগ্ন চড়ায়,на мели
ahem,ahem,hm,হুম,гм
aid,aid,hilfe,সাহায্য,помощь
aim,aim,ziel,লক্ষ্য,цель
aiming,aiming,zielen,লক্ষ্য,прицеливание
aimless,aimless,ziellos,উদ্দেশ্যহীন,бесцельный
air,air,luft,বায়ু,воздух
airfield,airfield,flugplatz,বিমানাঙ্গন,летное поле
airiness,airiness,luftigkeit,মুক্ত চিন্তাধারার,воздушность
airing,airing,lüftung,বায়ুসেবন,сушильный
airport,airport,flughafen,বিমানবন্দর,аэропорт
airship,airship,luftschiff,আকাশযান,дирижабль
airway,airway,luftweg,বিমান-চলাচলের পথ,авиалиния
airworthiness,airworthiness,lufttüchtigkeit,নভোযোগ্যতা,летная годность
airy,airy,luftig,বায়বীয়,воздушный
akin,akin,ähnlich,সদৃশ,похожий
alarmclock,alarmclock,wecker,অ্যালার্মঘড়ি,будильник
alarmed,alarmed,alarmiert,অধীর,встревоженный
alarming,alarming,alarmierend,ভীতিকর,тревожный
alarmingly,alarmingly,erschreckend,আশঙ্কাজনক হারে,угрожающе
alas,alas,ach,হায়রে,увы
albeit,albeit,obgleich,যদিও,хотя
alchemy,alchemy,alchimie,কিমিতি,алхимия
alcohol,alcohol,alkohol,এলকোহল,алкоголь
alert,alert,aufmerksam,সতর্ক,бдительный
alertness,alertness,wachsamkeit,সতর্কতা,настороженность
alien,alien,ausländer,পরক,инопланетянин
alienate,alienate,entfremden,হস্তান্তর করিয়া দেত্তয়া,отчуждать
alienation,alienation,entfremdung,উন্মত্ততা,отчуждение
alight,alight,angehen,অবতরণ করা,зажженный
align,align,ausrichten,শ্রেণীবদ্ধ করা,выравнивать
alignment,alignment,ausrichtung,শ্রেণীবিন্যাস,выравнивание
alimony,alimony,alimente,ভরণপোষণ,алименты
alive,alive,am leben,জীবিত,в живых
aliveness,aliveness,lebendigkeit,প্রণোচ্ছলতা,живость
alkaline,alkaline,alkalisch,ক্ষারীয়,щелочной
alkalinity,alkalinity,alkalinität,ক্ষারত্ব,щелочность
allege,allege,behaupten,সপক্ষে যুক্তি দেখান,утверждать
alleged,alleged,angeblich,কথিত,мнимый
allegedly,allegedly,angeblich,অভিযোগে,якобы
allegiance,allegiance,treue,আনুগত্য,верность
allegoric,allegoric,allegorisch,অপ্রস্তুতপ্রশংসা দ্বারা বর্ণিত,иносказательный
allegory,allegory,allegorie,রুপকবর্ণনা,аллегория
alleviate,alleviate,lindern,উপশম করা,смягчать
alleviation,alleviation,linderung,হ্রাসকরণ,облегчение
allies,allies,alliierte,মিত্রদের,союзники
allocable,allocable,zuweisbar,বণ্টনযোগ্য,относимый
allocate,allocate,zuordnen,বরাদ্দ করা,выделять
allocation,allocation,zuweisung,বণ্টন,распределение
allspice,allspice,piment,সংখ্যাতত্ত্ব,гвоздичное дерево
allude,allude,anspielen,উল্লেখ করা,намекать
allure,allure,locken,মোহন,завлекать
alluring,alluring,verlockend,লোভনীয়,заманчивый
ally,ally,verbündete,মিত্র,союзник
almanac,almanac,almanach,পাঁজি,альманах
almighty,almighty,allmächtig,সর্বশক্তিমান,всемогущий
almost,almost,fast,প্রায়,почти
aloft,aloft,oben,শূন্যে,наверх
alone,alone,allein,একা,в одиночестве
aloneness,aloneness,einsamkeit,একাকিত্ব,уединенность
alongside,alongside,neben,এর পাশাপাশি,рядом
aloof,aloof,distanziert,নির্লিপ্ত,отчужденный
aloofness,aloofness,zurückhaltung,উদাসীনতা,отчужденность
alpine,alpine,alpin,অত্যুচ্চ,высокогорный
alright,alright,in ordung,ঠিক হ্যায়,хорошо
also,also,ebenfalls,এছাড়াও,также
alternation,alternation,wechsel,পরিক্রমণ,чередование
alternator,alternator,generator,পর্যাবৃত্ত বিদ্যুত্প্রবাহের উত্পাদকযন্ত্র,генератор
although,although,obwohl,যদিও,несмотря на то что
altitude,altitude,höhe,উচ্চতা,высота над уровнем моря
alto,alto,alt,সরু,альт
altogether,altogether,insgesamt,পুরাপুরি,в целом
altruism,altruism,altruismus,পরার্থপরতা,альтруизм
aluminum,aluminum,aluminium,অ্যালুমিনিয়াম,алюминий
always,always,immer,সর্বদা,всегда
amass,amass,sammel,রাশীকৃত করা,копить
amateurish,amateurish,amateurhaft,অপেশাদারী,любительский
amaze,amaze,überraschen,স্তম্ভিত করা,поражать
amazed,amazed,erstaunt,বিস্মিত,пораженный
amazement,amazement,staunen,আশ্চর্য,изумление
amazing,amazing,tolle,আশ্চর্যজনক,удивительно
amazingly,amazingly,erstaunlich,বিস্ময়করভাবে,удивительно
amber,amber,bernstein,অ্যাম্বার,янтарный
ambiance,ambiance,ambiente,আবহ,атмосфера
ambidextrous,ambidextrous,beidhändig,সব্যসাচীর ন্যায় গুণবিশিষ্ট,двуличный
ambience,ambience,ambiente,বাতাবরণ,атмосфера
ambiguous,ambiguous,mehrdeutig,দ্ব্যর্থক,двусмысленный
ambitiously,ambitiously,ehrgeizig,উচ্চাকাঙ্ক্ষীভাবে,честолюбиво
ambush,ambush,hinterhalt,ত্তৎ পাতা,засада
amenable,amenable,zugänglich,এক্তিয়ারভুক্ত,поддающийся
amend,amend,ändern,সংশোধন করা,изменить
amendment,amendment,änderung,সংশোধন,поправка
amends,amends,ergänzt,ক্ষতিপূরণ,возмещение
amenity,amenity,annehmlichkeit,শিষ্টতা,удобства
amiable,amiable,liebenswürdig,বন্ধুসুলভ,любезный
amicability,amicability,verträglichkeit,অদ্রোহ,дружелюбие
amicable,amicable,freundschaftlich,বন্ধুত্বপূর্ণ,дружный
amiss,amiss,nicht gut,পথভ্রষ্ট,неладно
ammunition,ammunition,munition,গুলি,боеприпасов
among,among,unter,মধ্যে,среди
amorality,amorality,amoralität,নীতিহীনতা,аморальность
amorousness,amorousness,verliebtheit,প্রেমাকুলতা,влюбчивость
amorphous,amorphous,amorph,নিরাকার,аморфный
amount,amount,menge,পরিমাণ,количество
amp,amp,ampere,বিশ্বকাপ,ампер
amphibian,amphibian,amphibie,উভচর,амфибия
ample,ample,reichlich,প্রশস্ত,обильный
amplification,amplification,verstärkung,বিকাস,усиление
amplifier,amplifier,verstärker,পরিবর্ধক,усилитель
amplify,amplify,verstärken,প্রশস্ত করা,усиливать
amputate,amputate,amputieren,অঙ্গচ্ছেদ করা,ампутировать
amulet,amulet,amulett,মাদুলি,амулет
amuse,amuse,amüsieren,আমোদিত করা,озадачивать
amused,amused,amüsiert,আমোদিত,довольный
amusement,amusement,amüsement,পরিতৃপ্তি,развлечение
anaconda,anaconda,anakonda,বড় অজগর সাপ,анаконда
anaerobic,anaerobic,anaerob,অবাত,анаэробный
anagram,anagram,anagramm,এক শব্দের বর্ণসমূহের স্থানপরিবর্তন দ্বারা ভিন্ন শব্দ গঠন,анаграмма
analogical,analogical,analog,সাদৃশ্যমূলক,аналогический
analyst,analyst,analytiker,বিশ্লেষক,аналитик
analytic,analytic,analytisch,বিশ্লেষণমূলক,аналитический
analytically,analytically,analytisch,বিশ্লেষণী,аналитически
analyze,analyze,analysieren,বিশ্লেষণ করা,анализировать
analyzer,analyzer,analysator,বিশ্লেষক,анализатор
anarchy,anarchy,anarchie,অরাজকতা,анархия
anatomist,anatomist,anatom,শারীরস্থানবিৎ,анатом
ancestor,ancestor,vorfahr,পূর্বপুরুষ,предок
ancestors,ancestors,vorfahren,পূর্বপুরুষ,предки
ancestral,ancestral,ahnen-,পৈতৃক,наследственный
anchovy,anchovy,anschovis,হেরিং-জাতীয় ক্ষুদ্র মত্স্যবিশেষ,анчоус
and,and,und,এবং,а также
anemia,anemia,anämie,রক্তাল্পতা,анемия
anesthesia,anesthesia,anästhesie,অবেদন,анестезия
anesthesiologist,anesthesiologist,anästhesist,অ্যানেসথিসিয়াবিদ,анестезиолог
anesthesiology,anesthesiology,anästhesiologie,অ্যানেস্থেসিওলজি,анестезиология
anesthetic,anesthetic,narkose,অবেদনিক,анестезирующее
anew,anew,ein neuer,নতুনভাবে,заново
angelic,angelic,engelhaft,দেবদূতোপম,ангельский
angioplasty,angioplasty,angioplastie,এনজিওপ্লাস্টি,пластическая операция на сосудах
angle,angle,winkel,কোণ,угол
angled,angled,gewinkelt,কোনাচে,угловой
angles,angles,winkel,কোণ,углы
angrily,angrily,wütend,ক্রুদ্ধ,сердито
angry,angry,wütend,ক্রুদ্ধ,сердитый
anguish,anguish,pein,যন্ত্রণা,мучение
angular,angular,eckig,কৌণিক,угловая
animal,animal,tier,পশু,животное
animate,animate,animieren,সজীব,оживлять
animating,animating,animieren,চেতক,оживляющий
animosity,animosity,feindseligkeit,বিদ্বেষ,злоба
anklet,anklet,fußkette,নূপুর,ножной браслет
annex,annex,annektieren,আত্মসাৎ করা,приложение
annihilate,annihilate,vernichten,ধ্বংস করা,аннигилировать
annihilation,annihilation,vernichtung,নাশ,уничтожение
annotate,annotate,kommentieren,টীকা লেখা,аннотировать
announcement,announcement,ankündigung,ঘোষণা,объявление
annoy,annoy,nerven,বিরক্ত করা,раздражать
annoyance,annoyance,ärger,বিরক্তি,досада
annoyed,annoyed,verärgert,উত্ত্যক্ত,раздраженный
annual,annual,jährlich,বার্ষিক,годовой
annul,annul,annullieren,খণ্ডিত করা,кассировать
annulment,annulment,aufhebung,রদ,упразднение
anoint,anoint,salben,লেপা,помазать
anointed,anointed,gesalbt,উদ্বর্তিত,помазанник
anointment,anointment,verabredung,পরিশীলন,смазывание
anonymity,anonymity,anonymität,অপ্রকাশিতনামা,анонимность
anonymous,anonymous,anonym,নামবিহীন,анонимный
anonymously,anonymously,anonym,বেনামে,анонимно
another,another,ein weiterer,অন্য,другой
answer,answer,antworten,উত্তর,ответ
ant,ant,ameise,পিপীলিকা,муравей
antagonism,antagonism,antagonismus,বিরোধ,антагонизм
antagonize,antagonize,antagonisieren,প্রতিকূলতা করা,противодействовать
antenna,antenna,antenne,শুঙ্গ,антенна
anthologist,anthologist,anthologe,সাহিত্য-সঙ্কলক,составитель антологии
anthropological,anthropological,anthropologisch,নৃতাত্ত্বিক,антропологический
anthropologist,anthropologist,anthropologe,নৃবেজ্ঞানী,антрополог
anthropology,anthropology,anthropologie,নৃবিদ্যা,антропология
anthropomorphic,anthropomorphic,anthropomorph,নরত্বারোপমূলক,антропоморфический
antibacterial,antibacterial,antibakteriell,ব্যাকটেরিয়ারোধী,антибактериальный
antibody,antibody,antikörper,অ্যান্টিবডি,антитело
antic,antic,antik,অদ্ভুতদর্শন,шалости
anticipate,anticipate,erwarten,কহা,предвидеть
anticipative,anticipative,antizipativ,অনুমানভিত্তিক,упреждающий
antipathy,antipathy,antipathie,বিদ্বেষ,антипатия
antipsychotic,antipsychotic,antipsychotisch,এন্টিসাইকোটিক,антипсихотический
antiquated,antiquated,veraltet,অপ্রচলিত,устарелый
antique,antique,antiquität,পুরাকালের,античный
antiques,antiques,antiquitäten,প্রাচীন,антиквариат
antisemitism,antisemitism,antisemitismus,ইহুদীবিদ্বেষ,антисемитизм
antithesis,antithesis,antithese,বৈপরীত্য,антитеза
antler,antler,geweih,হরিণের সশাখ শৃঙ্গ,олений рог
antlered,antlered,geweihte,শিংওয়ালা,с ветвистыми рогами
anxiety,anxiety,angst,উদ্বেগ,тревожность
anxious,anxious,ängstlich,উদ্বিগ্ন,озабоченный
anxiously,anxiously,besorgt,জোরে,с тревогой
any,any,irgendein,কোন,любые
anymore,anymore,nicht mehr,আর,больше не
apart,apart,ein teil,পৃথক্,кроме
apartments,apartments,wohnungen,অ্যাপার্টমেন্ট,апартаменты
apathy,apathy,apathie,ঔদাসীন্য,апатия
aphrodisiac,aphrodisiac,aphrodisiakum,কামোদ্দীপক,афродизиак
apocalyptic,apocalyptic,apokalyptisch,রহস্যদঘাটন,апокалиптический
apologetic,apologetic,entschuldigend,কৈফিয়তমূলক,апологетический
apologist,apologist,apologet,কৈফিয়তদানকারী,апологет
apologize,apologize,entschuldigen,ক্ষমাপ্রার্থী,принести извинения
apology,apology,entschuldigung,কৈফিয়ৎ,апология
apostle,apostle,apostel,দূত,апостол
apostolic,apostolic,apostolisch,প্রচারের জন্য প্রেরিত ব্যক্তি-সম্বন্ধীয় ভাববাদিতুল্য,апостольский
apostrophe,apostrophe,apostroph,অক্ষর বাদ দেত্তয়ার চিহ্ন,апостроф
appalling,appalling,entsetzlich,আতঙ্কজনক,ужасающий
apparatus,apparatus,gerät,যন্ত্রপাতি,устройство
apparel,apparel,bekleidung,পোশাক,одежда
apparition,apparition,erscheinung,আবির্ভাব,привидение
appeal,appeal,beschwerde,আবেদন,обращение
appease,appease,beschwichtigen,প্রশমিত করা,успокаивать
append,append,anhängen,যুক্ত করা,присоединять
appendicitis,appendicitis,appendizitis,আন্ত্রিক রোগবিশেষ,аппендицит
appendix,appendix,blinddarm,উপাঙ্গ,приложение
appetite,appetite,appetit,ক্ষুধা,аппетит
appetizer,appetizer,vorspeise,এপেটাইজার,закуска
appetizing,appetizing,appetitlich,মুখরোচক,аппетитный
apple,apple,apfel,আপেল,яблоко
applicability,applicability,anwendbarkeit,প্রযোজ্যতা,применимость
application,application,anwendung,আবেদন,заявление
applicator,applicator,applikator,প্রলেপক,аппликатор
applied,applied,angewendet,ফলিত,прикладная
apply,apply,sich bewerben,প্রয়োগ করা,подать заявление
appointee,appointee,beauftragter,কর্মে নিযুক্তি ব্যক্তি,назначаемое лицо
appraisal,appraisal,bewertung,গুণগ্রাহিতা,оценка
