language_id,word_form,concept_id,concept_number,eng_word_form,semantic_domain
ekk,õun,Apfel::N,172,apple,Agriculture and vegetation
ekk,seen,Pilz::N,173,mushroom,Agriculture and vegetation
ekk,sibul,Zwiebel::N,174,onion,Agriculture and vegetation
ekk,seeme,Saat::N,175,seed,Agriculture and vegetation
ekk,iva,Korn::N,176,grain,Quantity
ekk,tera,Korn::N,176,grain,Quantity
ekk,hein,Heu::N,177,hay,Agriculture and vegetation
ekk,koor,Schale::N,178,husk,Food and drink
ekk,kaevand,Grube::N,179,pit,The physical world
ekk,lõks,Falle::N,180,trap,Basic actions and technology
ekk,püünis,Falle::N,180,trap,Basic actions and technology
ekk,aas,Schlinge::N,181,noose,Basic actions and technology
ekk,jälg,Spur::N,182,track,The body
ekk,tuhk,Asche::N,183,ashes,The physical world
ekk,saast,Dreck::N,184,filth,Sense perception
ekk,mustus,Dreck::N,184,filth,Sense perception
ekk,raud,Eisen::N,185,iron,Basic actions and technology
ekk,kuld,Gold::N,186,gold,Basic actions and technology
ekk,hõbe,Silber::N,187,silver,Basic actions and technology
ekk,süsi,Kohle::N,188,coal,The physical world
ekk,klaas,Glas::N,189,glass,Basic actions and technology
ekk,savi,Lehm::N,190,clay,Basic actions and technology
ekk,liiv,Sand::N,191,sand,The physical world
ekk,inimene,Mensch::N,192,human,Kinship
ekk,mees,Mann::N,193,man,Kinship
ekk,naine,Frau::N,194,woman,Kinship
ekk,laps,Kind::N,195,child,Kinship
ekk,poiss,Junge::N,196,boy,Kinship
ekk,tüdruk,Mädchen::N,197,girl,Kinship
ekk,perekond,Familie::N,198,family,Kinship
ekk,vanaisa,Großvater::N,199,grandfather,Kinship
ekk,vanaema,Großmutter::N,200,grandmother,Kinship
ekk,vanemad,Eltern::N,201,parents,Kinship
ekk,isa,Vater::N,202,father,Kinship
ekk,ema,Mutter::N,203,mother,Kinship
ekk,poeg,Sohn::N,204,son,Kinship
ekk,tütar,Tochter::N,205,daughter,Kinship
ekk,vend,Bruder::N,206,brother,Kinship
ekk,õde,Schwester::N,207,sister,Kinship
ekk,onu,Onkel::N,208,uncle,Kinship
ekk,tädi,Tante::N,209,aunt,Kinship
ekk,mees,Ehemann::N,210,husband,Kinship
ekk,abikaasa,Ehemann::N,210,husband,Kinship
ekk,naine,Ehefrau::N,211,wife,Kinship
ekk,abikaasa,Ehefrau::N,211,wife,Kinship
ekk,rõõm,Freude::N,212,joy,Emotions and values
ekk,naer,Gelächter::N,213,laughter,Emotions and values
ekk,õnn,Glück::N,214,happiness,Emotions and values
ekk,mure,Kummer::N,215,grief,Emotions and values
ekk,kurbus,Kummer::N,215,grief,Emotions and values
ekk,soov,Wunsch::N,216,wish,Emotions and values
ekk,himu,Lust::N,217,desire,Emotions and values
ekk,vaim,Geist::N,218,spirit,Emotions and values
ekk,mõte,Gedanke::N,219,thought,Emotions and values
ekk,mälu,Gedächtnis::N,220,memory,Cognition
ekk,aru,Verstand::N,221,mind,Cognition
ekk,mõistus,Verstand::N,221,mind,Cognition
ekk,tähendus,Sinn::N,222,meaning,Emotions and values
ekk,põhjus,Grund::N,223,reason,Emotions and values
ekk,tõde,Wahrheit::N,224,truth,Emotions and values
ekk,kõne,Gespräch::N,225,talk,Basic actions and technology
ekk,vestlus,Gespräch::N,225,talk,Basic actions and technology
ekk,muinasjutt,Märchen::N,226,fairy tale,Modern world
ekk,jutustus,Erzählung::N,227,story,Speech and language
ekk,teade,Nachricht::N,228,message,Basic actions and technology
ekk,uudis,Neuigkeit::N,229,news,Basic actions and technology
ekk,nimi,Name::N,230,name,Speech and language
ekk,mõistatus,Rätsel::N,231,puzzle,Speech and language
ekk,kõne,Rede::N,232,speech,Speech and language
ekk,keel,Sprache::N,233,language,Speech and language
ekk,hääl,Stimme::N,234,voice,Speech and language
ekk,sõna,Wort::N,235,word,Speech and language
ekk,märk,Zeichen::N,236,sign,Speech and language
ekk,hüüe,Ruf::N,237,call,Basic actions and technology
ekk,müra,Lärm::N,238,noise,Sense perception
ekk,hääl,Laut::N,239,sound,Sense perception
ekk,toon,Ton::N,240,tone,Sense perception
ekk,laul,Lied::N,241,song,Modern world
ekk,rahu,Ruhe::N,242,calm,Sense perception
ekk,vaikus,Ruhe::N,242,calm,Sense perception
ekk,inimesed,Leute::N,243,people,Social and political relations
ekk,rahvas,Volk::N,244,nation,Social and political relations
ekk,töö,Arbeit::N,245,work,Basic actions and technology
ekk,külaline,Gast::N,246,guest,Social and political relations
ekk,kingitus,Geschenk::N,247,gift,Basic actions and technology
ekk,mäng,Spiel::N,248,game,Social and political relations
ekk,selts,Gesellschaft::N,249,company,Modern world
ekk,abi,Hilfe::N,250,help,Social and political relations
ekk,sõber,Freund::N,251,friend,Social and political relations
ekk,sõber,Kamerad::N,252,companion,Social and political relations
ekk,asi,Angelegenheit::N,253,matter,Quantity
ekk,arv,Anzahl::N,254,count,Modern world
ekk,hulk,Anzahl::N,254,count,Modern world
ekk,liik,Art::N,255,sort,Cognition
ekk,tükk,Stück::N,256,piece,Quantity
ekk,osa,Teil::N,257,part,Quantity
ekk,pool,Hälfte::N,258,half,Quantity
ekk,ring,Kreis::N,259,circle,Spatial relations
ekk,rist,Kreuz::N,260,cross,Spatial relations
ekk,joon,Linie::N,261,line,Spatial relations
ekk,joon,Strich::N,262,stroke,Modern world
ekk,vahe,Abstand::N,263,gap,Spatial relations
ekk,kaugus,Entfernung::N,264,distance,Spatial relations
ekk,vahemaa,Entfernung::N,264,distance,Spatial relations
ekk,ümbrus,Gegend::N,265,area,The physical world
ekk,ruum,Platz::N,266,space,Spatial relations
ekk,paik,Ort::N,267,place,Spatial relations
ekk,pool,Seite::N,268,side,Spatial relations
ekk,keskpaik,Mitte::N,269,middle,Spatial relations
ekk,ese,Gegenstand::N,270,item,The physical world
ekk,ese,Sache::N,271,thing,Possession
ekk,äär,Rand::N,272,fringe,Spatial relations
ekk,serv,Rand::N,272,fringe,Spatial relations
ekk,kant,Kante::N,273,edge,Spatial relations
ekk,nurk,Ecke::N,274,corner,Spatial relations
ekk,teravik,Spitze::N,275,tip,Spatial relations
ekk,ots,Ende::N,276,end,Spatial relations
ekk,jupp,Ende::N,276,end,Spatial relations
ekk,auk,Loch::N,277,hole,Spatial relations
ekk,nurk,Winkel::N,278,angle,Spatial relations
ekk,muster,Muster::N,279,pattern,The physical world
ekk,suurus,Größe::N,280,size,Spatial relations
ekk,pikkus,Länge::N,281,length,Spatial relations
ekk,kõrgus,Höhe::N,282,height,Spatial relations
ekk,kaal,Gewicht::N,283,weight,Sense perception
ekk,raskus,Gewicht::N,283,weight,Sense perception
ekk,arv,Menge::N,284,amount,Basic actions and technology
ekk,hulk,Menge::N,284,amount,Basic actions and technology
ekk,hunnik,Haufen::N,285,heap,Basic actions and technology
ekk,rivi,Reihe::N,286,row,Spatial relations
ekk,paat,Boot::N,287,boat,Motion
ekk,aer,Ruder::N,288,oar,Motion
ekk,saan,Schlitten::N,289,sleigh,Motion
ekk,suusk,Ski::N,290,ski,Modern world
ekk,lõke,Lagerfeuer::N,291,campfire,Basic actions and technology
ekk,koorem,Last::N,292,load,Basic actions and technology
ekk,käik,Gang::N,293,walk,Quantity
ekk,samm,Schritt::N,294,step,The house
ekk,põhi,Norden::N,295,north,Spatial relations
ekk,lõuna,Süden::N,296,south,Spatial relations
ekk,lääs,Westen::N,297,west,Spatial relations
ekk,ida,Osten::N,298,east,Spatial relations
ekk,puu,Holz::N,299,wood,The physical world
ekk,saelaud,Brett::N,300,board,The house
ekk,plaat,Platte::N,301,slab,Modern world
ekk,tugi,Stütze::N,302,bracket,Spatial relations
ekk,latt,Stange::N,303,pole,The house
ekk,teivas,Stange::N,303,pole,The house
ekk,kepp,Stock::N,304,stick,The physical world
ekk,varras,Stab::N,305,staff,Social and political relations
ekk,toru,Rohr::N,306,pipe,Modern world
ekk,maja,Haus::N,307,house,The house
ekk,kodu,Heim::N,308,home,The house
ekk,ahi,Ofen::N,309,stove,The house
ekk,põrand,Fußboden::N,310,floor,The house
ekk,laud,Tisch::N,311,table,The house
ekk,tool,Stuhl::N,312,chair,The house
ekk,häll,Wiege::N,313,cradle,Modern world
ekk,kätki,Wiege::N,313,cradle,Modern world
ekk,voodi,Bett::N,314,bed,The house
ekk,riiul,Regal::N,315,shelf,The house
ekk,kast,Kiste::N,316,box,Modern world
ekk,aken,Fenster::N,317,window,The house
ekk,uks,Tür::N,318,door,The house
ekk,värav,Tor::N,319,gate,The house
ekk,aed,Zaun::N,320,fence,Agriculture and vegetation
ekk,tara,Zaun::N,320,fence,Agriculture and vegetation
ekk,katus,Dach::N,321,roof,The house
ekk,redel,Leiter::N,322,ladder,The house
ekk,luud,Besen::N,323,broom,Basic actions and technology
ekk,labidas,Spaten::N,324,spade,Agriculture and vegetation
ekk,kühvel,Schaufel::N,325,shovel,Agriculture and vegetation
ekk,kahvel,Gabel::N,326,fork,Food and drink
ekk,lusikas,Löffel::N,327,spoon,Food and drink
ekk,nuga,Messer::N,328,knife,Food and drink
ekk,nael,Nagel::N,329,nail,Basic actions and technology
ekk,võrk,Netz::N,330,net,Basic actions and technology
ekk,haak,Haken::N,331,hook,Spatial relations
ekk,konks,Haken::N,331,hook,Spatial relations
ekk,sang,Griff::N,332,handle,Basic actions and technology
ekk,käepide,Griff::N,332,handle,Basic actions and technology
ekk,lukk,Schloss::N,333,lock,The house
ekk,pilt,Bild::N,334,picture,Modern world
ekk,kuju,Figur::N,335,figure,Social and political relations
ekk,kujund,Figur::N,335,figure,Social and political relations
ekk,nukk,Puppe::N,336,doll,Modern world
ekk,paun,Beutel::N,337,pouch,Basic actions and technology
ekk,kimp,Bündel::N,338,bundle,Basic actions and technology
ekk,kott,Tasche::N,339,bag,Basic actions and technology
ekk,pang,Eimer::N,340,bucket,Basic actions and technology
ekk,ämber,Eimer::N,340,bucket,Basic actions and technology
ekk,kaas,Deckel::N,341,cover,Basic actions and technology
ekk,nõud,Geschirr::N,342,dishes,Food and drink
ekk,kott,Sack::N,343,sack,Basic actions and technology
ekk,tass,Tasse::N,344,cup,Food and drink
ekk,pada,Topf::N,345,pot,Food and drink
ekk,pada,Kessel::N,346,kettle,Food and drink
ekk,söök,Essen::N,347,meal,Food and drink
ekk,toit,Nahrung::N,348,food,Food and drink
ekk,roog,Speise::N,349,dish,Food and drink
ekk,liha,Fleisch::N,350,meat,Food and drink
ekk,teravili,Getreide::N,351,corn,Agriculture and vegetation
ekk,puder,Brei::N,352,mush,The physical world
ekk,sai,Brot::N,353,bread,Food and drink
ekk,leib,Brot::N,353,bread,Food and drink
ekk,viil,Scheibe::N,354,slice,Modern world
ekk,viilukas,Scheibe::N,354,slice,Modern world
ekk,rasv,Fett::N,355,fat,The body
ekk,või,Butter::N,356,butter,Food and drink
ekk,õli,Öl::N,357,oil,Food and drink
ekk,sool,Salz::N,358,salt,Food and drink
ekk,supp,Suppe::N,359,soup,Food and drink
ekk,mesi,Honig::N,360,honey,Food and drink
ekk,piim,Milch::N,361,milk,Food and drink
ekk,tee,Tee::N,362,tea,Modern world
ekk,nahk,Leder::N,363,leather,Clothing and grooming
ekk,vill,Wolle::N,364,wool,Clothing and grooming
ekk,kangas,Stoff::N,365,cloth,Clothing and grooming
ekk,nõel,Nadel::N,366,needle,Clothing and grooming
ekk,niit,Faden::N,367,thread,Clothing and grooming
ekk,nööp,Knopf::N,368,button,Clothing and grooming
ekk,sõlm,Knoten::N,369,knot,Basic actions and technology
ekk,värv,Farbe::N,370,paint,Basic actions and technology
ekk,riided,Kleidung::N,371,clothes,Clothing and grooming
ekk,riietus,Kleidung::N,371,clothes,Clothing and grooming
ekk,särk,Hemd::N,372,shirt,Clothing and grooming
ekk,krae,Kragen::N,373,collar,Clothing and grooming
ekk,varrukas,Ärmel::N,374,sleeve,Clothing and grooming
ekk,püksid,Hose::N,375,trousers,Clothing and grooming
ekk,vöö,Gürtel::N,376,belt,Clothing and grooming
ekk,müts,Mütze::N,377,cap,Clothing and grooming
ekk,king,Schuh::N,378,shoe,Clothing and grooming
ekk,saabas,Stiefel::N,379,boot,Clothing and grooming
ekk,sõrmus,Ring::N,380,ring,Clothing and grooming
ekk,lint,Band::N,381,ribbon,Basic actions and technology
ekk,kamm,Kamm::N,382,comb,Clothing and grooming
ekk,peegel,Spiegel::N,383,mirror,Clothing and grooming
ekk,rihm,Riemen::N,384,strap,Basic actions and technology
ekk,nöör,Schnur::N,385,string,Basic actions and technology
ekk,jalutusrihm,Leine::N,386,leash,Basic actions and technology
ekk,tekk,Decke::N,387,blanket,The house
ekk,padi,Kissen::N,388,pillow,The house
ekk,kalev,Tuch::N,389,scarf,Clothing and grooming
ekk,käterätik,Handtuch::N,390,towel,Clothing and grooming
ekk,jõud,Kraft::N,391,force,The body
ekk,tugevus,Stärke::N,392,strength,The body
ekk,tervis,Gesundheit::N,393,health,The body
ekk,haigus,Krankheit::N,394,illness,The body
ekk,valu,Schmerz::N,395,pain,Emotions and values
ekk,haav,Wunde::N,396,wound,The body
ekk,palavik,Fieber::N,397,fever,The body
ekk,ravim,Arznei::N,398,medicine,The body
ekk,sild,Brücke::N,399,bridge,Motion
ekk,kaev,Brunnen::N,400,well,The physical world
ekk,karjamaa,Weide::N,401,pasture,Animals
ekk,rada,Pfad::N,402,path,Motion
ekk,tee,Weg::N,403,way,Motion
ekk,tee,Straße::N,404,road,Motion
ekk,küla,Dorf::N,405,village,Social and political relations
ekk,linn,Stadt::N,406,town,Social and political relations
ekk,kiri,Brief::N,407,letter,Modern world
ekk,raamat,Buch::N,408,book,Speech and language
ekk,täht,Buchstabe::N,409,character,Speech and language
ekk,ajaleht,Zeitung::N,410,newspaper,Modern world
ekk,elu,Leben::N,411,life,The body
ekk,surm,Tod::N,412,death,The body
ekk,haud,Grab::N,413,grave,The body
ekk,kirik,Kirche::N,414,church,Social and political relations
ekk,patt,Sünde::N,415,sin,Emotions and values
ekk,jumal,Gott::N,416,god,Social and political relations
ekk,tööline,Arbeiter::N,417,worker,Modern world
ekk,ülemus,Chef::N,418,boss,Modern world
ekk,juhataja,Chef::N,418,boss,Modern world
ekk,meister,Meister::N,419,master,Social and political relations
ekk,arst,Arzt::N,420,doctor,The body
ekk,õpetaja,Lehrer::N,421,teacher,Cognition
ekk,raha,Geld::N,422,money,Animals
ekk,äri,Geschäft::N,423,business,Modern world
ekk,pood,Laden::N,424,shop,Possession
ekk,kauplus,Laden::N,424,shop,Possession
ekk,hind,Preis::N,425,price,Possession
ekk,kaup,Ware::N,426,ware,Modern world
ekk,tulu,Nutzen::N,427,profit,Modern world
ekk,kasulikkus,Nutzen::N,427,profit,Modern world
ekk,rikkus,Reichtum::N,428,wealth,Modern world
ekk,maailm,Welt::N,429,world,The physical world
ekk,maa,Land::N,430,country,Social and political relations
ekk,riik,Staat::N,431,state,Modern world
ekk,kuningas,König::N,432,king,Social and political relations
ekk,võim,Macht::N,433,power,Social and political relations
ekk,piir,Grenze::N,434,border,Social and political relations
ekk,sõda,Krieg::N,435,war,Social and political relations
ekk,vaenlane,Feind::N,436,enemy,Social and political relations
ekk,väevõim,Gewalt::N,437,violence,Emotions and values
ekk,võitlus,Kampf::N,438,fight,Basic actions and technology
ekk,vibu,Bogen[Waffe]::N,439,bow,Basic actions and technology
ekk,nool,Pfeil::N,440,arrow,Basic actions and technology
ekk,püss,Gewehr::N,441,gun,Basic actions and technology
ekk,viga,Fehler::N,442,mistake,Emotions and values
ekk,vale,Lüge::N,443,lie,Emotions and values
ekk,kahju,Schaden::N,444,damage,Modern world
ekk,häda,Unglück::N,445,misfortune,Emotions and values
ekk,õnnetus,Unglück::N,445,misfortune,Emotions and values
ekk,süü,Schuld::N,446,fault,Emotions and values
ekk,iga,Alter::N,447,age,Time
ekk,lõpp,Schluss::N,448,conclusion,Time
ekk,aeg,Zeit::N,449,time,Time
ekk,päev,Tag::N,450,day,Time
ekk,hommik,Morgen::N,451,morning,Time
ekk,lõuna,Mittag::N,452,noon,Time
ekk,keskpäev,Mittag::N,452,noon,Time
ekk,õhtu,Abend::N,453,evening,Time
ekk,öö,Nacht::N,454,night,Time
ekk,nädal,Woche::N,455,week,Time
ekk,kuu,Monat::N,456,month,Time
ekk,aasta,Jahr::N,457,year,Time
ekk,kevad,Frühling::N,458,spring,Time
ekk,suvi,Sommer::N,459,summer,Time
ekk,sügis,Herbst::N,460,autumn,Time
ekk,talv,Winter::N,461,winter,Time
ekk,jaanuar,Januar::N,462,January,Time
ekk,veebruar,Februar::N,463,February,Time
ekk,märts,März::N,464,March,Time
ekk,aprill,April::N,465,April,Time
ekk,mai,Mai::N,466,May,Time
ekk,juuni,Juni::N,467,June,Time
ekk,juuli,Juli::N,468,July,Time
ekk,august,August::N,469,August,Time
ekk,september,September::N,470,September,Time
ekk,oktoober,Oktober::N,471,October,Time
ekk,november,November::N,472,November,Time
ekk,detsember,Dezember::N,473,December,Time
ekk,esmaspäev,Montag::N,474,Monday,Time
ekk,teisipäev,Dienstag::N,475,Tuesday,Time
ekk,kesknädal,Mittwoch::N,476,Wednesday,Time
ekk,neljapäev,Donnerstag::N,477,Thursday,Time
ekk,reede,Freitag::N,478,Friday,Time
ekk,laupäev,Samstag::N,479,Saturday,Time
ekk,pühapäev,Sonntag::N,480,Sunday,Time
ekk,suur,groß::A,481,big,Spatial relations
ekk,väike,klein::A,482,little,Spatial relations
ekk,pisike,klein::A,482,little,Spatial relations
ekk,pikk,lang::A,483,long,Spatial relations
ekk,lühike,kurz::A,484,short,Spatial relations
ekk,lai,breit::A,485,wide,Spatial relations
ekk,kitsas,schmal::A,486,narrow,Spatial relations
ekk,tihe,dicht::A,487,dense,Spatial relations
ekk,jäme,dick[Gegenstand]::A,488,thick,Spatial relations
ekk,õhuke,dünn::A,489,thin,Spatial relations
ekk,peenike,dünn::A,489,thin,Spatial relations
ekk,peen,fein::A,490,delicate,Spatial relations
ekk,õhuke,fein::A,490,delicate,Spatial relations
ekk,püsiv,fest::A,491,firm,Basic actions and technology
ekk,kindel,fest::A,491,firm,Basic actions and technology
ekk,lame,flach::A,492,flat,Spatial relations
ekk,tasane,flach::A,492,flat,Spatial relations
ekk,sile,glatt::A,493,smooth,Sense perception
ekk,kõva,hart::A,494,hard,Sense perception
ekk,pehme,weich::A,495,soft,Sense perception
